Species,Sample,Diet,Search,Peak,Class,RT,Area
TAME,TAME1,Dietary,Search2,P150-RT-14.66,Miscellaneous cyclic compounds,14.6469,144547
SOBO,SOBO1,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6648,135182
AHER,AHER1,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6605,133428
BSIM,BSIM1,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6552,101817
SOBO,SOBO2,Non-dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8597,6091757
TAME,TAME4,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8312,3551561
SOBO,SOBO5,Non-dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8516,1536261
TAME,TAME2,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8353,1194900
SMOM,SMOM5,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8149,767227
SMOM,SMOM1,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8359,717787
AHER,AHER5,Non-dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8594,469350
TAME,TAME1,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8337,425627
BSIM,BSIM5,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8186,283230
CVIT,CVIT4,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8199,183363
TAME,TAME3,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8271,86874
BSIM,BSIM4,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.8322,77315
CVIT,CVIT2,Dietary,Search1,P153-RT-14.84,Nitrogen-containing compounds,14.897,28337
AHER,AHER5,Non-dietary,Search1,P154-RT-14.86,Nitrogen-containing compounds,14.8623,1553593
AHER,AHER4,Non-dietary,Search1,P154-RT-14.86,Nitrogen-containing compounds,14.845,675035
AHER,AHER1,Non-dietary,Search1,P154-RT-14.86,Nitrogen-containing compounds,14.8469,555990
AHER,AHER3,Non-dietary,Search1,P154-RT-14.86,Nitrogen-containing compounds,14.8516,473181
SOBO,SOBO2,Non-dietary,Search1,P154-RT-14.86,Nitrogen-containing compounds,14.8814,392661
AHER,AHER2,Non-dietary,Search1,P154-RT-14.86,Nitrogen-containing compounds,14.8757,382353
CVIT,CVIT2,Dietary,Search2,P154-RT-14.86,Nitrogen-containing compounds,14.9393,12110
SOBO,SOBO2,Non-dietary,Search1,P155-RT-14.93,Nitrogen-containing compounds,14.9454,5728530
SOBO,SOBO5,Non-dietary,Search1,P155-RT-14.93,Nitrogen-containing compounds,14.9363,1163670
TAME,TAME4,Dietary,Search1,P155-RT-14.93,Nitrogen-containing compounds,14.9194,798524
BSIM,BSIM3,Dietary,Search1,P155-RT-14.93,Nitrogen-containing compounds,14.9258,262918
TAME,TAME2,Dietary,Search2,P155-RT-14.93,Nitrogen-containing compounds,14.9042,107334
CVIT,CVIT2,Dietary,Search1,P155-RT-14.93,Nitrogen-containing compounds,14.9711,98078
SMOM,SMOM5,Dietary,Search2,P155-RT-14.93,Nitrogen-containing compounds,14.8973,77841
TAME,TAME1,Dietary,Search1,P155-RT-14.93,Nitrogen-containing compounds,14.9031,48534
SMOM,SMOM1,Dietary,Search1,P155-RT-14.93,Nitrogen-containing compounds,14.9124,43238
TAME,TAME3,Dietary,Search2,P155-RT-14.93,Nitrogen-containing compounds,14.9079,41945
TAME,TAME5,Dietary,Search2,P155-RT-14.93,Nitrogen-containing compounds,14.9167,3857
SOBO,SOBO1,Non-dietary,Search1,P158-RT-15.07,Terpenoids,15.1647,208536652
SOBO,SOBO2,Non-dietary,Search1,P158-RT-15.07,Terpenoids,15.113,51758454
SOBO,SOBO5,Non-dietary,Search1,P158-RT-15.07,Terpenoids,15.103,30102968
CVIT,CVIT5,Dietary,Search1,P158-RT-15.07,Terpenoids,15.0521,21567276
TAME,TAME4,Dietary,Search1,P158-RT-15.07,Terpenoids,15.06,14760497
CVIT,CVIT3,Dietary,Search1,P158-RT-15.07,Terpenoids,15.0697,6185468
TAME,TAME1,Dietary,Search1,P158-RT-15.07,Terpenoids,15.061,6000610
CVIT,CVIT4,Dietary,Search1,P158-RT-15.07,Terpenoids,15.0476,1755277
TAME,TAME3,Dietary,Search1,P158-RT-15.07,Terpenoids,15.0336,1464306
CVIT,CVIT1,Dietary,Search1,P158-RT-15.07,Terpenoids,15.0655,198485
TAME,TAME5,Dietary,Search1,P158-RT-15.07,Terpenoids,15.0511,51285
CVIT,CVIT4,Dietary,Search1,P159-RT-15.12,Aliphatics,15.157,826870
SMOM,SMOM4,Dietary,Search1,P159-RT-15.12,Aliphatics,15.0804,811194
AHER,AHER1,Non-dietary,Search1,P159-RT-15.12,Aliphatics,15.1209,675139
GSEP,GSEP1,Non-dietary,Search1,P159-RT-15.12,Aliphatics,15.1107,673705
SOBO,SOBO3,Non-dietary,Search1,P159-RT-15.12,Aliphatics,15.1487,590968
AHER,AHER4,Non-dietary,Search1,P159-RT-15.12,Aliphatics,15.1166,484362
SMOM,SMOM1,Dietary,Search1,P159-RT-15.12,Aliphatics,15.118,409694
TAME,TAME4,Dietary,Search1,P159-RT-15.12,Aliphatics,15.149,128554
GSEP,GSEP4,Non-dietary,Search1,P159-RT-15.12,Aliphatics,15.1108,59706
CVIT,CVIT5,Dietary,Search1,P159-RT-15.12,Aliphatics,15.1557,46792
TAME,TAME5,Dietary,Search1,P159-RT-15.12,Aliphatics,15.1142,41390
GSEP,GSEP3,Non-dietary,Search2,P159-RT-15.12,Aliphatics,15.1352,6926
SOBO,SOBO2,Non-dietary,Search1,P160-RT-15.12,Aliphatics,15.124,2220422
SOBO,SOBO5,Non-dietary,Search1,P160-RT-15.12,Aliphatics,15.1155,908680
TAME,TAME4,Dietary,Search1,P160-RT-15.12,Aliphatics,15.0942,591854
AHER,AHER5,Non-dietary,Search1,P160-RT-15.12,Aliphatics,15.1161,240650
CVIT,CVIT2,Dietary,Search1,P160-RT-15.12,Aliphatics,15.1517,190974
GSEP,GSEP5,Non-dietary,Search1,P160-RT-15.12,Aliphatics,15.0966,115868
TAME,TAME2,Dietary,Search1,P160-RT-15.12,Aliphatics,15.0953,115279
AHER,AHER2,Non-dietary,Search1,P160-RT-15.12,Aliphatics,15.1266,38100
SMOM,SMOM3,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2817,44078338
TAME,TAME5,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2148,41185587
SOBO,SOBO3,Non-dietary,Search1,P161-RT-15.23,Terpenoids,15.2971,33394844
CVIT,CVIT3,Dietary,Search1,P161-RT-15.23,Terpenoids,15.1968,29832090
SMOM,SMOM1,Dietary,Search1,P161-RT-15.23,Terpenoids,15.223,19962825
TAME,TAME1,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2435,9932859
CVIT,CVIT4,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2051,7598557
BSIM,BSIM3,Dietary,Search1,P161-RT-15.23,Terpenoids,15.1189,7198857
SMOM,SMOM5,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2382,6805350
CVIT,CVIT5,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2476,6606884
TAME,TAME2,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2225,4751586
TAME,TAME3,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2012,4531717
CVIT,CVIT1,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2765,4313265
SOBO,SOBO5,Non-dietary,Search1,P161-RT-15.23,Terpenoids,15.2176,3484194
SOBO,SOBO2,Non-dietary,Search2,P161-RT-15.23,Terpenoids,15.1313,3385057
BSIM,BSIM5,Dietary,Search1,P161-RT-15.23,Terpenoids,15.225,3135166
TAME,TAME4,Dietary,Search1,P161-RT-15.23,Terpenoids,15.3056,2796120
GSEP,GSEP2,Non-dietary,Search1,P161-RT-15.23,Terpenoids,15.2386,2544975
BSIM,BSIM4,Dietary,Search1,P161-RT-15.23,Terpenoids,15.1226,2473923
BSIM,BSIM1,Dietary,Search1,P161-RT-15.23,Terpenoids,15.2841,2257904
BSIM,BSIM2,Dietary,Search1,P161-RT-15.23,Terpenoids,15.1531,2026153
GSEP,GSEP3,Non-dietary,Search1,P161-RT-15.23,Terpenoids,15.2176,212030
AHER,AHER3,Non-dietary,Search2,P161-RT-15.23,Terpenoids,15.2291,16452
CVIT,CVIT1,Dietary,Search1,P163-RT-15.42,Aliphatics,15.4257,564995
SOBO,SOBO2,Non-dietary,Search1,P163-RT-15.42,Aliphatics,15.4428,374630
TAME,TAME5,Dietary,Search1,P163-RT-15.42,Aliphatics,15.417,372045
GSEP,GSEP3,Non-dietary,Search1,P163-RT-15.42,Aliphatics,15.4064,322736
TAME,TAME4,Dietary,Search1,P163-RT-15.42,Aliphatics,15.4158,304953
AHER,AHER4,Non-dietary,Search1,P163-RT-15.42,Aliphatics,15.3621,164654
BSIM,BSIM5,Dietary,Search1,P163-RT-15.42,Aliphatics,15.4215,119620
SOBO,SOBO3,Non-dietary,Search1,P163-RT-15.42,Aliphatics,15.4502,81011
TAME,TAME1,Dietary,Search1,P163-RT-15.42,Aliphatics,15.4183,38901
CVIT,CVIT3,Dietary,Search1,P163-RT-15.42,Aliphatics,15.4299,12360
GSEP,GSEP2,Non-dietary,Search2,P163-RT-15.42,Aliphatics,15.4072,10439
AHER,AHER3,Non-dietary,Search1,P163-RT-15.42,Aliphatics,15.4154,4464
BSIM,BSIM1,Dietary,Search2,P163-RT-15.42,Aliphatics,15.4349,230
SOBO,SOBO5,Non-dietary,Search1,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.6437,869597
BSIM,BSIM3,Dietary,Search1,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.587,571387
AHER,AHER1,Non-dietary,Search1,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.6486,492893
SOBO,SOBO3,Non-dietary,Search1,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.6404,396275
BSIM,BSIM4,Dietary,Search1,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.6176,158170
TAME,TAME2,Dietary,Search1,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.6284,108810
BSIM,BSIM5,Dietary,Search1,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.6146,58413
SMOM,SMOM4,Dietary,Search1,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.6005,50401
CVIT,CVIT3,Dietary,Search2,P166-RT-15.63,Benzenoids and Phenylpropanoids,15.6297,2212
SOBO,SOBO2,Non-dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7828,2807548
SOBO,SOBO5,Non-dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.78,2013594
GSEP,GSEP5,Non-dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7674,372850
TAME,TAME4,Dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7601,363913
SMOM,SMOM5,Dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7433,293279
TAME,TAME2,Dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7647,263105
AHER,AHER5,Non-dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7758,247013
SOBO,SOBO3,Non-dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7815,188359
AHER,AHER2,Non-dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7887,181205
SMOM,SMOM1,Dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7657,154289
CVIT,CVIT1,Dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7729,129493
CVIT,CVIT4,Dietary,Search2,P168-RT-15.77,Nitrogen-containing compounds,15.7493,92633
CVIT,CVIT3,Dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7694,50139
BSIM,BSIM2,Dietary,Search2,P168-RT-15.77,Nitrogen-containing compounds,15.7699,31793
BSIM,BSIM4,Dietary,Search1,P168-RT-15.77,Nitrogen-containing compounds,15.7495,30099
CVIT,CVIT5,Dietary,Search2,P168-RT-15.77,Nitrogen-containing compounds,15.7446,27708
SOBO,SOBO1,Non-dietary,Search1,P169-RT-16.21,Terpenoids,16.4234,118731087
SOBO,SOBO5,Non-dietary,Search1,P169-RT-16.21,Terpenoids,16.4094,40772866
SMOM,SMOM3,Dietary,Search1,P169-RT-16.21,Terpenoids,16.2067,23602905
TAME,TAME4,Dietary,Search1,P169-RT-16.21,Terpenoids,16.3755,19747885
SOBO,SOBO2,Non-dietary,Search1,P169-RT-16.21,Terpenoids,16.4073,15433854
CVIT,CVIT5,Dietary,Search1,P169-RT-16.21,Terpenoids,16.3614,15389393
SOBO,SOBO3,Non-dietary,Search1,P169-RT-16.21,Terpenoids,16.4055,14888930
TAME,TAME5,Dietary,Search1,P169-RT-16.21,Terpenoids,16.1572,14657101
SMOM,SMOM1,Dietary,Search1,P169-RT-16.21,Terpenoids,16.1649,13516610
TAME,TAME1,Dietary,Search1,P169-RT-16.21,Terpenoids,16.377,7899743
CVIT,CVIT3,Dietary,Search1,P169-RT-16.21,Terpenoids,16.3853,6446939
CVIT,CVIT1,Dietary,Search1,P169-RT-16.21,Terpenoids,16.2155,3948466
SMOM,SMOM4,Dietary,Search1,P169-RT-16.21,Terpenoids,16.2823,3861566
SMOM,SMOM5,Dietary,Search1,P169-RT-16.21,Terpenoids,16.168,3629752
BSIM,BSIM1,Dietary,Search1,P169-RT-16.21,Terpenoids,16.2207,2082046
BSIM,BSIM3,Dietary,Search1,P169-RT-16.21,Terpenoids,16.3791,1762138
BSIM,BSIM4,Dietary,Search1,P169-RT-16.21,Terpenoids,16.0832,1301286
TAME,TAME3,Dietary,Search1,P169-RT-16.21,Terpenoids,16.1489,1107396
BSIM,BSIM5,Dietary,Search1,P169-RT-16.21,Terpenoids,16.359,630188
GSEP,GSEP2,Non-dietary,Search1,P169-RT-16.21,Terpenoids,16.1714,551463
CVIT,CVIT4,Dietary,Search1,P169-RT-16.21,Terpenoids,16.1455,495926
CVIT,CVIT2,Dietary,Search1,P169-RT-16.21,Terpenoids,16.1909,352803
BSIM,BSIM2,Dietary,Search1,P169-RT-16.21,Terpenoids,16.107,349390
GSEP,GSEP1,Non-dietary,Search1,P169-RT-16.21,Terpenoids,16.2568,78295
TAME,TAME2,Dietary,Search1,P169-RT-16.21,Terpenoids,16.1692,24839
AHER,AHER4,Non-dietary,Search2,P169-RT-16.21,Terpenoids,16.1157,1065
TAME,TAME2,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.1653,1230419
TAME,TAME4,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.2152,409113
AHER,AHER4,Non-dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.1523,321873
SMOM,SMOM1,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0522,309546
SMOM,SMOM5,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0549,266938
BSIM,BSIM4,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,15.9845,242196
SMOM,SMOM3,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0902,226209
BSIM,BSIM1,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0994,205632
TAME,TAME3,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0405,201951
TAME,TAME5,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0469,171100
CVIT,CVIT4,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.1961,164530
BSIM,BSIM5,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.2001,157638
SMOM,SMOM4,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.1412,112400
AHER,AHER1,Non-dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.2058,110917
GSEP,GSEP2,Non-dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0582,91443
CVIT,CVIT5,Dietary,Search2,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.2021,90304
BSIM,BSIM2,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0088,77949
BSIM,BSIM3,Dietary,Search1,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.2168,74194
CVIT,CVIT3,Dietary,Search2,P170-RT-16.11,Benzenoids and Phenylpropanoids,16.0458,16227
AHER,AHER4,Non-dietary,Search1,P176-RT-16.61,Aliphatics,16.6247,640420
CVIT,CVIT1,Dietary,Search1,P176-RT-16.61,Aliphatics,16.6175,559418
AHER,AHER1,Non-dietary,Search1,P176-RT-16.61,Aliphatics,16.6305,517757
GSEP,GSEP4,Non-dietary,Search1,P176-RT-16.61,Aliphatics,16.5953,412662
SOBO,SOBO1,Non-dietary,Search1,P176-RT-16.61,Aliphatics,16.6362,350950
BSIM,BSIM1,Dietary,Search1,P176-RT-16.61,Aliphatics,16.6247,303852
GSEP,GSEP1,Non-dietary,Search1,P176-RT-16.61,Aliphatics,16.6257,299205
BSIM,BSIM3,Dietary,Search1,P176-RT-16.61,Aliphatics,16.5867,253700
TAME,TAME4,Dietary,Search1,P176-RT-16.61,Aliphatics,16.6028,246870
SMOM,SMOM3,Dietary,Search1,P176-RT-16.61,Aliphatics,16.603,202828
TAME,TAME1,Dietary,Search1,P176-RT-16.61,Aliphatics,16.6207,198423
SOBO,SOBO3,Non-dietary,Search1,P176-RT-16.61,Aliphatics,16.6352,77981
SMOM,SMOM4,Dietary,Search1,P176-RT-16.61,Aliphatics,16.6045,76125
TAME,TAME2,Dietary,Search1,P176-RT-16.61,Aliphatics,16.6107,72399
SMOM,SMOM5,Dietary,Search1,P176-RT-16.61,Aliphatics,16.5956,70338
BSIM,BSIM5,Dietary,Search1,P176-RT-16.61,Aliphatics,16.6008,67996
SOBO,SOBO2,Non-dietary,Search1,P176-RT-16.61,Aliphatics,16.612,4315
SOBO,SOBO1,Non-dietary,Search1,P178-RT-16.70,Terpenoids,16.7287,2672914
SOBO,SOBO3,Non-dietary,Search1,P178-RT-16.70,Terpenoids,16.7287,2129799
CVIT,CVIT3,Dietary,Search1,P178-RT-16.70,Terpenoids,16.7064,2110605
SOBO,SOBO2,Non-dietary,Search1,P178-RT-16.70,Terpenoids,16.7247,1761533
SOBO,SOBO5,Non-dietary,Search1,P178-RT-16.70,Terpenoids,16.7277,1446274
CVIT,CVIT5,Dietary,Search1,P178-RT-16.70,Terpenoids,16.6807,1294623
TAME,TAME4,Dietary,Search1,P178-RT-16.70,Terpenoids,16.6957,600746
TAME,TAME1,Dietary,Search1,P178-RT-16.70,Terpenoids,16.7021,393905
SMOM,SMOM1,Dietary,Search1,P178-RT-16.70,Terpenoids,16.6667,311579
CVIT,CVIT4,Dietary,Search1,P178-RT-16.70,Terpenoids,16.6805,273643
SMOM,SMOM5,Dietary,Search1,P178-RT-16.70,Terpenoids,16.677,153548
SMOM,SMOM3,Dietary,Search1,P178-RT-16.70,Terpenoids,16.6752,125803
BSIM,BSIM1,Dietary,Search2,P178-RT-16.70,Terpenoids,16.7321,5500
SOBO,SOBO5,Non-dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.8211,854671
SOBO,SOBO2,Non-dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8229,823525
BSIM,BSIM3,Dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8014,326772
SMOM,SMOM5,Dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.7926,301298
TAME,TAME2,Dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.8106,265292
SOBO,SOBO3,Non-dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.8293,242802
AHER,AHER1,Non-dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8376,174015
BSIM,BSIM5,Dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.7996,162479
TAME,TAME3,Dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.8143,160478
BSIM,BSIM4,Dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.8031,155491
GSEP,GSEP5,Non-dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.8142,143816
AHER,AHER5,Non-dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8323,103146
CVIT,CVIT2,Dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.8381,97109
SMOM,SMOM1,Dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8338,72042
TAME,TAME4,Dietary,Search1,P181-RT-16.81,Miscellaneous cyclic compounds,16.8007,67641
SMOM,SMOM3,Dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8173,62184
GSEP,GSEP1,Non-dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.825,54051
BSIM,BSIM2,Dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8288,53029
AHER,AHER3,Non-dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8422,38145
AHER,AHER4,Non-dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8433,34087
SMOM,SMOM4,Dietary,Search2,P181-RT-16.81,Miscellaneous cyclic compounds,16.8033,30099
SOBO,SOBO1,Non-dietary,Search1,P182-RT-16.82,Terpenoids,16.8443,14488068
SOBO,SOBO5,Non-dietary,Search1,P182-RT-16.82,Terpenoids,16.8408,6263893
SOBO,SOBO2,Non-dietary,Search1,P182-RT-16.82,Terpenoids,16.8393,4931070
TAME,TAME4,Dietary,Search1,P182-RT-16.82,Terpenoids,16.8113,3226687
CVIT,CVIT5,Dietary,Search1,P182-RT-16.82,Terpenoids,16.7958,2208165
TAME,TAME1,Dietary,Search1,P182-RT-16.82,Terpenoids,16.8138,2142390
SOBO,SOBO3,Non-dietary,Search1,P182-RT-16.82,Terpenoids,16.8399,1963399
TAME,TAME5,Dietary,Search1,P182-RT-16.82,Terpenoids,16.8125,783472
CVIT,CVIT3,Dietary,Search1,P182-RT-16.82,Terpenoids,16.8191,543297
BSIM,BSIM3,Dietary,Search1,P182-RT-16.82,Terpenoids,16.8154,449390
CVIT,CVIT1,Dietary,Search1,P182-RT-16.82,Terpenoids,16.8217,405709
CVIT,CVIT4,Dietary,Search1,P182-RT-16.82,Terpenoids,16.7985,331336
SMOM,SMOM3,Dietary,Search1,P182-RT-16.82,Terpenoids,16.7932,247008
SMOM,SMOM1,Dietary,Search2,P182-RT-16.82,Terpenoids,16.8155,28757
GSEP,GSEP3,Non-dietary,Search2,P182-RT-16.82,Terpenoids,16.7956,2633
CVIT,CVIT1,Dietary,Search1,P184-RT-17.01,Miscellaneous cyclic compounds,17.0066,972629
SOBO,SOBO5,Non-dietary,Search1,P184-RT-17.01,Miscellaneous cyclic compounds,17.0156,487017
SOBO,SOBO2,Non-dietary,Search1,P184-RT-17.01,Miscellaneous cyclic compounds,17.0175,441704
SMOM,SMOM1,Dietary,Search1,P184-RT-17.01,Miscellaneous cyclic compounds,17.0066,162861
GSEP,GSEP5,Non-dietary,Search1,P184-RT-17.01,Miscellaneous cyclic compounds,17.0006,74100
TAME,TAME1,Dietary,Search2,P184-RT-17.01,Miscellaneous cyclic compounds,17.0006,32346
AHER,AHER2,Non-dietary,Search1,P184-RT-17.01,Miscellaneous cyclic compounds,17.0267,21812
BSIM,BSIM2,Dietary,Search2,P184-RT-17.01,Miscellaneous cyclic compounds,16.9978,17911
BSIM,BSIM1,Dietary,Search2,P184-RT-17.01,Miscellaneous cyclic compounds,16.9941,902
TAME,TAME4,Dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.2774,2787914
TAME,TAME5,Dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.2758,2554456
TAME,TAME1,Dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.2795,2427605
TAME,TAME3,Dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.1124,962978
BSIM,BSIM5,Dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.2634,520943
SOBO,SOBO2,Non-dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.2611,274907
GSEP,GSEP2,Non-dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.1859,187298
BSIM,BSIM3,Dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.2834,118184
SOBO,SOBO1,Non-dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.3041,56483
SMOM,SMOM3,Dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.1727,20338
GSEP,GSEP4,Non-dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.1486,13225
BSIM,BSIM1,Dietary,Search1,P187-RT-17.20,Miscellaneous cyclic compounds,17.1462,10959
SOBO,SOBO2,Non-dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.2187,4077342
SOBO,SOBO5,Non-dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.2174,1325017
TAME,TAME4,Dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.1994,867007
BSIM,BSIM3,Dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.2074,534145
SMOM,SMOM1,Dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.2045,267810
SMOM,SMOM5,Dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.1759,238624
AHER,AHER5,Non-dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.2142,150847
TAME,TAME3,Dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.2063,128900
SOBO,SOBO3,Non-dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.215,118644
BSIM,BSIM4,Dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.1937,107631
AHER,AHER2,Non-dietary,Search2,P188-RT-17.20,Miscellaneous cyclic compounds,17.2227,52420
CVIT,CVIT2,Dietary,Search2,P188-RT-17.20,Miscellaneous cyclic compounds,17.2252,51343
TAME,TAME5,Dietary,Search2,P188-RT-17.20,Miscellaneous cyclic compounds,17.204,31641
GSEP,GSEP3,Non-dietary,Search2,P188-RT-17.20,Miscellaneous cyclic compounds,17.1818,16609
CVIT,CVIT4,Dietary,Search2,P188-RT-17.20,Miscellaneous cyclic compounds,17.1847,9530
TAME,TAME2,Dietary,Search1,P188-RT-17.20,Miscellaneous cyclic compounds,17.2021,8362
CVIT,CVIT5,Dietary,Search2,P188-RT-17.20,Miscellaneous cyclic compounds,17.2764,815
SOBO,SOBO1,Non-dietary,Search1,P190-RT-17.41,Miscellaneous cyclic compounds,17.4279,321057
SOBO,SOBO2,Non-dietary,Search1,P190-RT-17.41,Miscellaneous cyclic compounds,17.4258,215961
TAME,TAME4,Dietary,Search1,P190-RT-17.41,Miscellaneous cyclic compounds,17.3973,182861
TAME,TAME1,Dietary,Search1,P190-RT-17.41,Miscellaneous cyclic compounds,17.4018,100464
CVIT,CVIT3,Dietary,Search1,P190-RT-17.41,Miscellaneous cyclic compounds,17.4061,83521
TAME,TAME5,Dietary,Search1,P190-RT-17.41,Miscellaneous cyclic compounds,17.4005,80595
CVIT,CVIT1,Dietary,Search1,P190-RT-17.41,Miscellaneous cyclic compounds,17.4058,66628
