Species,Sample,Diet,Peak,Identity,Class,RT,Area
C.vit,CVIT1,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5963,34063311
C.vit,CVIT3,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.599,34005375
C.vit,CVIT2,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5972,8617272
C.vit,CVIT4,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5707,5066763
C.vit,CVIT5,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5665,507237
G.sep,GSEP4,Non-dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5529,646058
G.sep,GSEP5,Non-dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5797,606888
S.mom,SMOM1,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5838,5092361
S.mom,SMOM4,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5582,590788
S.mom,SMOM5,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5585,165072
T.ame,TAME5,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5808,69249
A.her,AHER4,Non-dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7662,84376
B.sim,BSIM2,Dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7604,142108
C.vit,CVIT4,Dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7469,126241
S.mom,SMOM4,Dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7383,115548
S.mom,SMOM5,Dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7395,13472
T.ame,TAME3,Dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7628,250668
T.ame,TAME2,Dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7619,71624
T.ame,TAME4,Dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7568,53019
T.ame,TAME1,Dietary,P040-RT-6.75,Unk. Monoterpene 1,Terpenoids,6.7603,42734
B.sim,BSIM3,Dietary,P041-RT-6.78,alpha-Terpinene,Terpenoids,6.8115,210537054
B.sim,BSIM4,Dietary,P041-RT-6.78,alpha-Terpinene,Terpenoids,6.7693,16992451
B.sim,BSIM5,Dietary,P041-RT-6.78,alpha-Terpinene,Terpenoids,6.7726,14314518
B.sim,BSIM1,Dietary,P041-RT-6.78,alpha-Terpinene,Terpenoids,6.7807,748964
S.mom,SMOM1,Dietary,P041-RT-6.78,alpha-Terpinene,Terpenoids,6.7807,50726
S.mom,SMOM5,Dietary,P041-RT-6.78,alpha-Terpinene,Terpenoids,6.7559,34134
A.her,AHER2,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0185,663703
A.her,AHER4,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0012,660320
A.her,AHER1,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0113,437413
A.her,AHER5,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0046,165790
A.her,AHER3,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0083,88657
B.sim,BSIM3,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0055,50947308
B.sim,BSIM5,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9821,3715008
B.sim,BSIM2,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9896,3610753
B.sim,BSIM4,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9803,2198165
B.sim,BSIM1,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.994,1646489
C.vit,CVIT3,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0006,1551839
C.vit,CVIT1,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0012,1221511
C.vit,CVIT2,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0079,990352
C.vit,CVIT5,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9772,733151
C.vit,CVIT4,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9809,624289
G.sep,GSEP5,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9899,777542
G.sep,GSEP4,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0137,748699
G.sep,GSEP1,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9911,342723
G.sep,GSEP3,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9809,200565
G.sep,GSEP2,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9798,69504
S.mom,SMOM1,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9984,21346540
S.mom,SMOM3,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9785,5632840
S.mom,SMOM5,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9716,5031428
S.mom,SMOM4,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9732,1382266
S.obo,SOBO5,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0223,27899634
S.obo,SOBO2,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0063,8314727
S.obo,SOBO1,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.005,6235270
S.obo,SOBO3,Non-dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,7.0146,224456
T.ame,TAME4,Dietary,P044-RT-7.00,D-/L-Limonene,Terpenoids,6.9908,3634823
